0B94D00000049A58 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=18446744072384995195 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000019A0DA00 [ 38 ADV_IND         crc=1 sig=    15/255 len=46 t=    706 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000019B97760 [ 39 ADV_IND         crc=1 sig=    15/255 len=46 t= 100905 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000019DA0C40 [ 37 ADV_IND         crc=1 sig=    41/255 len=46 t= 133500 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000019E77260 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=  55002 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000019E7A6A0 [ 38 ADV_IND         crc=1 sig=    15/255 len=46 t=    604 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000019E7DAC0 [ 39 ADV_IND         crc=1 sig=    15/255 len=46 t=    884 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000019FEAB60 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t=  93533 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000019FED860 [ 38 ADV_IND         crc=1 sig=    16/255 len=46 t=    580 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001A004200 [ 39 ADV_IND         crc=1 sig=    84/255 len=46 t=   5909 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001A168E60 [ 39 ADV_IND         crc=1 sig=    14/255 len=46 t=  91269 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001A26F400 [ 37 ADV_IND         crc=1 sig=    41/255 len=46 t=  67281 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001A2E3F40 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=  29806 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001A2E73A0 [ 38 ADV_IND         crc=1 sig=    16/255 len=46 t=    724 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001A2EA7E0 [ 39 ADV_IND         crc=1 sig=    16/255 len=46 t=    891 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001A4664C0 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t=  97914 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001A468F40 [ 38 ADV_IND         crc=1 sig=    15/255 len=46 t=     72 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001A4E1EE0 [ 39 ADV_IND         crc=0 sig=    85/255 len=46 t=  30988 AdvA=78BDBCCFAB3E content=%>xuBz>z:
000000001A5EDE80 [ 39 ADV_IND         crc=1 sig=    15/255 len=46 t=  68553 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001A738D80 [ 37 ADV_IND         crc=1 sig=    40/255 len=46 t=  86862 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001A76E4A0 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=  11531 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001A8A4960 [ 38 ADV_NONCONN_IND crc=1 sig=    20/255 len=43 t=  79384 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
000000001A98B5C0 [ 38 ADV_IND         crc=1 sig=    46/255 len=46 t=  59101 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001AA6FF20 [ 38 ADV_IND         crc=1 sig=    16/255 len=46 t=  58520 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001ABDCB80 [ 39 ADV_IND         crc=1 sig=    84/255 len=46 t=  93359 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001ABE15E0 [ 39 ADV_IND         crc=1 sig=    15/255 len=46 t=   1204 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001AF056E0 [ 37 ADV_IND         crc=0 sig=    20/255 len=46 t= 205817 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001AF08A80 [ 38 ADV_IND         crc=1 sig=    15/255 len=46 t=    847 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001B08D700 [ 39 ADV_IND         crc=1 sig=    85/255 len=46 t=  99485 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001B13E340 [ 39 ADV_IND         crc=1 sig=    14/255 len=46 t=  45254 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001B208FE0 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=  51879 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001B20C2A0 [ 38 ADV_IND         crc=1 sig=    15/255 len=46 t=    839 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001B20F620 [ 39 ADV_IND         crc=1 sig=    15/255 len=46 t=    748 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001B2F4320 [ 37 ADV_IND         crc=1 sig=    40/255 len=46 t=  58699 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001B3C1480 [ 37 ADV_IND         crc=0 sig=    19/255 len=60 t=  52477 AdvA=CCB11A8AC6F5 content=5wbD)@o:du$DU@-q_
000000001B438FC0 [ 38 ADV_NONCONN_IND crc=1 sig=    21/255 len=43 t=  30618 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
000000001B54FCA0 [ 38 ADV_IND         crc=1 sig=    47/255 len=46 t=  71430 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001B6972E0 [ 38 ADV_IND         crc=1 sig=    15/255 len=46 t=  83846 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001B825EC0 [ 39 ADV_IND         crc=1 sig=    16/255 len=46 t= 102002 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001B9A51A0 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t=  98127 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001BC71760 [ 38 ADV_IND         crc=1 sig=    41/255 len=46 t= 183397 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001BCA2100 [ 38 ADV_IND         crc=1 sig=    14/255 len=46 t=  12453 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001BCA5500 [ 39 ADV_IND         crc=1 sig=    22/255 len=46 t=    706 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001BE34180 [ 37 ADV_IND         crc=1 sig=    22/255 len=46 t= 102194 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001BEB12E0 [ 38 ADV_IND         crc=0 sig=    12/255 len=46 t=  31977 AdvA=CCB11A8AC6F5 content=%uzJ.s@^"D0C?n<
000000001BEDB900 [ 39 ADV_IND         crc=1 sig=    83/255 len=46 t=  10850 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001BFC61C0 [ 39 ADV_IND         crc=1 sig=    30/255 len=46 t=  60045 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001C14BCE0 [ 37 ADV_IND         crc=1 sig=    17/255 len=46 t=  99866 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001C21CA40 [ 38 ADV_NONCONN_IND crc=1 sig=    20/255 len=43 t=  53386 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
000000001C3040E0 [ 38 ADV_IND         crc=0 sig=    10/255 len=43 t=  59228 AdvA=CE75EB5015A2 content=PbPu+Fo9(FOW
000000001C46A660 [ 38 ADV_NONCONN_IND crc=1 sig=    22/255 len=43 t=  91772 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
000000001C6CA440 [ 38 ADV_NONCONN_IND crc=1 sig=    23/255 len=43 t= 156084 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
000000001C871820 [ 38 ADV_IND         crc=1 sig=    42/255 len=46 t= 107793 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001CABABE0 [ 38 ADV_IND         crc=1 sig=    43/255 len=46 t= 150010 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001CDB4A00 [ 38 ADV_NONCONN_IND crc=1 sig=    23/255 len=43 t= 194838 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
000000001CF67080 [ 38 ADV_IND         crc=1 sig=    42/255 len=46 t= 111244 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001CFFE9C0 [ 38 ADV_NONCONN_IND crc=1 sig=    23/255 len=43 t=  38760 AdvA=78BDBC59D87D content="}YxuBxY}zY|x

